CASEID,MARITAL,B1AGE,AGEDISP,RACER,SEX_N,AGE_N,RACE_N,HSPNC_N,OTHERR_N,EDU_N,JOB1_N,JOB2_N,JOB3_N,JOB4_N,PHOUR_N,VHOUR_N,STDNT_N,SAMESEX,C1SITUAT,PARTNERS,PABUSE,ABUSENP,RELANAME,RELAEXFO,LENGTHTO,LENGTHON,LENGTH4,CHNGE_N,CODE1_N,DATE1_N,CODE2_N,DATE2_N,CODE3_N,DATE3_N,LIVE_N,LIVEWITH,LIVEWR,LIVNEVER,LIVALLYR,NOHOME,APART_N,APARTR,APART3,REASON1,REASON2,REASON3,REASON4,CHILDR,RETRN_N,REASONR1,REASONR2,REASONR3,REASONR4,REASONR5,CHILDCB,L28KIDSN,KIDSNUM,FOSTER_N,KIDLIV_N,KIDIV2_N,DECEASED,STDETAI,STEPCHIL
148245,  1,25,  4,1,  1, 30,  1,1,1,  5,  2,9999,9999,9999, 999,9999,777,0,1,1,1,0,  6,  1,  2,2,2,   2,9999, 1,9999, 1,9999,1,  5,  0,0,  1,  0,  2,  2,  1,0,   1,   2,  13,   7,1,   1,  12,9999,9999,9999,9999,0,  3,999,9999, 777,9999,0,  1,  1
148247,  1,21,  1,1,  1, 23,  1,1,1,  4,  9,9999,9999,9999, 999,9999,777,0,1,1,1,0,  5,  0,  4,2,4,   2,9999, 1,9999, 1,9999,1,  1,  1,1,  0,  1,  2,  3,  1,1,   1,9999,9999,9999,0,   1,   3,9999,9999,9999,9999,0,  3,999,9999, 777,9999,0,  2,  2
148344,  1,34,  6,1,  1, 62,  1,1,1,888,  2,9999,9999,9999,9999,9999,777,0,2,3,3,0,  5,  0,  3,2,3,   2,9999, 1,9999, 1,9999,1,  2,  0,0,  0,  0,  2,  1,  1,0,  20,9999,9999,9999,0,   1,  11,  12,9999,9999,9999,0,  3,999,9999,9999,9999,0,  2,  2
148345,  1,33,  1,1,  1, 35,  1,1,1,  7,  2,9999,9999,9999,9999,9999,777,0,3,2,1,0,  6,  1,  1,1,1, 888,9999, 1,9999, 1,9999,1,  5,  0,0,  1,  0,  2,  1,  1,0,   1,   8,9999,9999,0,   2,9999,9999,9999,9999,9999,0,  3,999,9999,9999,9999,0,  2,  2
148350,  1,20,  1,1,  1, 24,  1,1,1,  3,  2,9999,9999,9999, 999,9999,777,0,1,1,1,0,  6,  1,  4,2,4,   2,9999, 1,9999, 1,9999,1,  5,  0,0,  1,  0,  2,  1,  1,0,  12,9999,9999,9999,0,   2,9999,9999,9999,9999,9999,0,  3,999,9999, 777,9999,0,  2,  2
148351,  1,43,  2,1,  1, 37,  1,1,1,  5, 10,9999,9999,9999, 999,9999,777,0,1,1,1,0,  5,  0,  5,2,4,   1,   2, 7,9999, 1,9999,1,  1,  1,1,  0,  1,  2,  2,  1,0,  10,9999,9999,9999,0,   1,   9,9999,9999,9999,9999,0,  3,999,9999, 777,9999,0,  1,  1
148402,  1,26,  2,1,  1, 21,  1,1,1,  4,  2,9999,9999,9999, 999,9999,777,0,1,1,1,0,  5,  0,  2,2,2,   2,9999, 1,9999, 1,9999,1,  1,  1,1,  0,  1,  2,  4,  0,0, 999,9999,9999,9999,0,9999,9999,9999,9999,9999,9999,0,  3,999,9999, 777,9999,0,  1,  1
148459,  2,21,  1,1,  1, 23,  1,1,1,  4,  2,9999,9999,9999, 999,9999,777,0,1,1,1,0,  1,  0,  4,2,4,   2,9999, 1,9999, 1,9999,1,  1,  1,1,  0,  1,  2,  4,  0,0,9999,9999,9999,9999,0,   2,9999,9999,9999,9999,9999,0,  1,  1,9999,   2,9999,0,  1,  1
148521,  1,18,  1,1,  1, 19,  1,1,1,  5,  2,   7,9999,9999,9999,9999,  2,0,3,2,1,0,  6,  1,  1,1,1,   2,9999, 1,9999, 1,9999,1,  5,  0,0,  1,  0,  2,  1,  1,0,   1,9999,9999,9999,0,   2,9999,9999,9999,9999,9999,0,  3,999,9999,9999,9999,0,  2,  2
148559,  1,19,  1,1,  1, 23,  1,1,1,  3,  9,9999,9999,9999, 999,9999,777,0,1,1,1,0,  5,  0,  2,2,2,   2,9999, 1,9999, 1,9999,1,  2,  0,0,  0,  0,  2,  4,  0,0, 999,9999,9999,9999,0,9999,9999,9999,9999,9999,9999,0,  3,999,9999, 777,9999,0,  2,  2
