CASEID,INVIEWN,ABUSED,C1SITUAT,PARTNERS,PABUSE,L1SAME,L2NAME,L3CURRNT,L4RELATE,L5TIME,L5YEARS,L5MNTHS,L5DATE,L6RELATE,L6OTHER,L7TIME,L7DATE,L7YEAR,L7END,L7BEGIN,L7MNTH,L7OTHER,L8ALL,L11CURNT,L12RELAT,L13TIME,L13YEARS,L14RELAT,L15TIME,L15YEARS,L15MNTH,L16SEX,L17AGE,B1AGE,AGEDISP,L18RACE,L18HSPNC,L18OTHER,L19EDU,L20JOB1,L20JOB2,L20JOB3,L20JOB4,L20PHOUR,L20VHOUR,L20STDNT,L21CHNGE,L22CODE1,L22CODE2,L22CODE3,L22DATE1,L22DATE2,L22DATE3,L23LIVE,L24APART,L25REASN,L25RESN2,L25RESN3,L25RESN4,L26RETRN,L27REASN,L27RESN2,L27RESN3,L27RESN4,L27RESN5,L28KID,L28BYHIM,DECEASED,L28FOSTR,L29LIVE,L29LIVE2,STDETAI,STEPCHIL
148099,1,1,1,1,1,   1,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,   1,9999,9999,9999,9999,9999,9999,99,1,  1, 18,27,  2,  1, 1, 1,  3,  8,9999,9999,9999,9999,9999,777,  2,9999,9999,9999, 1, 1,1,  5,  4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  3,9999,9,9999,9999,9999,  1,  1
148100,1,1,1,1,1,   1,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,   1,9999,9999,9999,9999,9999,9999,99,1,  1, 24,18,  4,  1, 1, 1,  4,  1,9999,9999,9999,9999,9999,777,  2,9999,9999,9999, 1, 1,1,  5,  4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  3,9999,9,9999,9999,9999,  2,  2
148106,1,1,1,1,1,   1,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,   1,9999,9999,9999,9999,9999,9999,99,1,  1, 24,21,  1,  6, 3, 1,  3,  2,9999,9999,9999,9999,9999,777,  2,9999,9999,9999, 1, 1,1,  1,  3,  12,9999,9999,9999,9999,9999,9999,9999,9999,9999,  1,   2,9,9999,   2,9999,  5,  2
148107,1,1,1,1,1,   1,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,   1,9999,9999,9999,9999,9999,9999,99,1,  1, 42,32,  5,  1, 1, 1,888,  2,9999,9999,9999,9999,9999,777,  2,9999,9999,9999, 1, 1,1,  2,  1,  10,  23,9999,9999,   1,   9,9999,9999,9999,9999,  3,9999,9,9999,9999,9999,  2,  2
148108,1,1,1,1,1,   1,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,   1,9999,9999,9999,9999,9999,9999,99,1,  1, 38,35,  1,  1, 1, 1,  4, 13,9999,9999,9999,9999,9999,777,  2,9999,9999,9999, 1, 1,1,  1,  4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  3,9999,9,9999,9999,9999,  2,  2
148109,1,1,3,4,3,   2,1,   2,9999,9999,9999,9999,1,   6, 1,   2,99,99,11,19, 1,1,   2,   2,9999,9999,9999,   6,   3, 4,5,  1, 24,20,  1,  1, 1, 1,  3,  9,9999,9999,9999,9999,9999,777,  1,   2,9999,9999,21, 1,1,  4,  1,  10,9999,9999,9999,   1,  12,9999,9999,9999,9999,  1,   1,9,9999,   1,9999,  5,  2
148110,1,1,1,1,1,   1,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,   1,9999,9999,9999,9999,9999,9999,99,1,  1, 36,32,  1,  1, 1, 1,  3,  2,9999,9999,9999,9999,9999,777,  2,9999,9999,9999, 1, 1,1,  5,  1,   1,  10,9999,9999,   1,   9,  13,9999,9999,9999,  1,   2,9,9999,   1,9999,  1,  1
148111,1,1,1,1,1,   1,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,   1,9999,9999,9999,9999,9999,9999,99,1,  1, 30,27,  1,  1, 1, 1,  9,  2,9999,9999,9999,9999,9999,777,  2,9999,9999,9999, 1, 1,1,  2,  1,   2,9999,9999,9999,   2,9999,9999,9999,9999,9999,  1,   1,9,9999,   1,9999,  5,  2
148113,1,1,1,1,1,   1,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,   1,9999,9999,9999,9999,9999,9999,99,1,  1, 32,27,  4,  1, 1, 1,  4,  8,9999,9999,9999,9999,9999,777,  1,   2,9999,9999, 5, 1,1,  2,  2,   1,9999,9999,9999,   2,9999,9999,9999,9999,9999,  1,   3,9,9999,   1,9999,  5,  2
148115,1,1,1,1,1,   1,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,   1,9999,9999,9999,9999,9999,9999,99,1,  1, 37,31,  4,  1, 1, 1,  4,  3,9999,9999,9999,  25,9999,777,  1,  16,9999,9999,14, 1,1,  2,  1,   1,  10,9999,9999,   2,9999,9999,9999,9999,9999,  3,9999,9,9999,9999,9999,  2,  2
