CASEID,INVIEWN,B1AGE,AGER,AGERR,B2EDU,HIGHSCHL,B3EMPLY1,B3EMPLY2,B3EMPLY3,B3EMPLY4,EMPLOYR,UNEMPLOY,HOMEMAKR,B3HOURS,B3VHOUR,B3STUDNT,B4CHANGE,B5CODE1,B5DATE1,B5CODE2,B5DATE2,B5CODE3,B5DATE3,B6RACE,RACER,B6HSPNIC,B6OTHER,B7BIRTH,B7PLACE,B7PLACER,F14CHICG,B8MARITL,MARRIED,SINGLE,SCRSTAT,SCRSTATR,FINSTAT,FINSTATR,ABUSED,CHNGSTAT,CHGTONAW,NAWYEAR,RELAC1,LENGTHC1,C1SITUAT,PARTNERS,PABUSE,SPANISH1,INMONTH,INYEAR,INDAY
309292,1,19,1,1,  5,  1,  7,9999,9999,9999,3,0,0,9999,99,   1,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  2,  2, 2,2,2,1,99,99,  6,2,9,9,9,2,12,1997,10
309308,1,39,4,2,  5,  1,  2,9999,9999,9999,1,0,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  2,  2, 2,2,2,1,99,99,  6,5,9,9,9,2,12,1997,24
309311,1,24,2,1,  8,  1,  2,9999,9999,9999,1,0,0,9999,99,9999,  1,   1,16,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  3,  3, 2,2,2,3,99, 1,  6,1,9,9,9,2,12,1997,26
309390,1,40,4,3,  3,  0,  8,9999,9999,9999,4,1,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  2,  5,  0,  0,  3,  3, 2,2,2,3,99, 1,  5,2,9,9,9,2, 1,1998,19
309393,1,34,4,2,  3,  0,  9,9999,9999,9999,4,1,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  3,  3, 2,2,2,3,99, 3,  5,2,9,9,9,2, 2,1997, 2
309406,1,27,3,1,  8,  1,  2,9999,9999,9999,1,0,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  2,  1,  0,  3,  3, 2,2,2,3,99, 1,  1,4,9,9,9,2, 1,1998, 6
309407,1,51,6,4,  3,  0,  2,9999,9999,9999,1,0,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 30,  2,  2,  4,  0,  0,  1,  1, 2,2,2,2, 4,99,  5,5,9,9,9,2, 1,1998,10
309414,1,33,4,2,  4,  1,  2,9999,9999,9999,1,0,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  5,3,1, 9,  2, 21, 40,  2,  2,  1,  0,  2,  2, 2,2,2,1,99,99,  1,5,9,9,9,2, 1,1998,16
309416,1,18,1,1,  3,  0,  8,9999,9999,9999,4,1,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  3,2,6, 1,  1, 19,  1,  1,  1,  0,  1,  3,  3, 2,2,2,3,99, 2,  5,2,9,9,9,2, 1,1998,15
309420,1,43,5,3,  3,  0,  9,9999,9999,9999,4,1,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  2,3,1, 8,  1, 19,  1,  1,  2,  1,  0,  3,  3, 2,2,2,3,99, 1,  1,6,9,9,9,2, 1,1998,23
309422,1,26,3,1,  7,  1,  3,9999,9999,9999,1,0,0,  30,99,9999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  1,  1, 2,2,2,2, 4,99,  5,1,9,9,9,2, 1,1998,26
309477,1,47,5,3,  4,  1,  9,9999,9999,9999,4,1,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  2,3,1, 1,  2, 16, 20,  1,  2,  1,  0,  1,  1, 2,2,2,2, 4,99,  1,6,9,9,9,2, 1,1998,30
309502,1,32,4,2,  4,  1,  8,9999,9999,9999,4,1,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  3,  3, 2,2,2,3,99, 3,  5,5,9,9,9,2, 2,1998, 4
309511,1,21,2,1,  5,  1,  3,   7,9999,9999,1,0,0,  30,99,   2,  1,   2,12,   8, 9,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  2,  2, 2,2,2,1,99,99,  5,3,9,9,9,2, 3,1998, 3
309574,1,53,6,4,  4,  1,  2,9999,9999,9999,1,0,0,9999,99,9999,  1,   1,19,9999, 1,9999, 1,  2,3,1, 1,  1, 19,  1,  1,  6,  0,  0,  1,  1, 2,2,2,2, 4,99,  2,6,9,9,9,2, 3,1998,13
309580,1,47,5,3,  5,  1,  2,9999,9999,9999,1,0,0,9999,99,9999,  1,   1,18,9999, 1,9999, 1,  2,3,1, 1,  1, 19,  1,  2,  5,  0,  0,  1,  1, 2,2,2,2, 4,99,  2,5,9,9,9,2, 3,1998,25
309608,1,43,5,3,  4,  1,  9,9999,9999,9999,4,1,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  2,3,1, 1,  1, 29,  5,  2,  2,  1,  0,  3,  3, 2,2,2,3,99, 1,  1,6,9,9,9,2, 4,1998, 9
309609,1,43,5,3,  4,  1,  6,9999,9999,9999,2,0,1,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  2,3,1, 1,  2,  6, 25,  2,  2,  1,  0,  1,  1, 3,3,2,2, 7, 2,  1,6,9,9,9,2, 4,1998,10
309681,1,43,5,3,  3,  0,  7,9999,9999,9999,3,0,0,9999,99,   2,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  1,  1, 3,3,2,2, 4, 1,  5,1,9,9,9,2, 4,1998,20
309682,1,39,4,2,  3,  0,  8,9999,9999,9999,4,1,0,9999,99,9999,  1,  14,14, 888,11,  14, 6,  1,1,1, 1,  1,998,  7,  1,  5,  0,  0,  2,  2,88,2,2,1,99,99,  6,5,9,9,9,2,12,1997, 8
