CASEID,G1NUMBER,H1JEALUS,H2LIMIT,H3KNOWNG,J1HIT,J2THROWN,J3PUSH,J4SLAP,J5KICK,J6OBJECT,J7BEAT,J8CHOKE,J9KNIFE,J10GUN,J11SEX,POWER,HARASS,B1AGE,AGEDISP,STDETAI,SAMESEXR,N11DRUGS,N12ALCHL,N13SUHIM,N16CHILD,N17ARRST,N1FRQNCY,N2SVRITY,N3WEAPON,N4CHOKE,N5SEX,N6CONTRL,N8JEALUS,N10CPBLE
218042,9999,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,1,26,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
218048,9999,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,6,30,5,2,9999,1,1,1,2,2,2,2,2,2,2,2,2,2
218148,9999,1,1,1,1,2,1,2,2,2,2,2,2,2,2,3,4,31,1,1,1,2,1,1,2,888,1,2,2,1,2,1,1,2
218160,9999,2,1,2,2,2,1,1,2,2,2,2,2,2,2,1,2,27,1,2,9999,1,2,1,2,2,2,2,2,2,1,2,2,2
219147,9999,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,26,1,2,9999,2,1,2,2,1,3,3,3,3,3,3,3,3
219235,9999,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,18,1,2,9999,2,1,2,2,2,3,3,3,3,3,3,3,3
228284,9999,1,1,1,1,1,1,2,2,2,2,2,1,2,2,4,7,24,1,2,9999,1,1,1,2,1,1,1,1,2,2,1,2,1
229047,9999,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,36,2,5,9999,2,1,2,2,1,3,3,3,3,3,3,3,3
308001,9999,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,31,1,2,9999,2,2,2,2,2,2,2,2,2,2,1,2,2
308002,9999,1,1,1,1,1,1,2,1,1,1,1,2,2,2,4,5,18,1,2,9999,2,2,2,2,2,1,2,1,1,2,1,1,2
308003,9999,2,1,2,2,2,1,1,1,2,1,1,2,1,2,3,10,31,4,6,9999,1,2,1,2,888,1,2,1,2,1,2,1,2
308004,9999,1,2,2,2,2,1,2,1,2,2,2,2,2,2,1,1,27,4,5,9999,1,2,2,2,1,2,2,2,2,2,2,2,2
308005,9999,1,1,1,1,1,1,1,1,1,1,2,2,2,1,5,6,19,1,2,9999,2,1,1,2,1,2,2,2,2,2,2,1,1
